Date,MalaysiaPopulation
1950,6109915
1951,6271486
1952,6450083
1953,6640041
1954,6837358
1955,7039719
1956,7246538
1957,7458898
1958,7679270
1959,7911036
1960,8157106
1961,8418460
1962,8692815
1963,8974084
1964,9253963
1965,9526563
1966,9789982
1967,10046172
1968,10297801
1969,10549226
1970,10803978
1971,11062338
1972,11324251
1973,11592698
1974,11871233
1975,12162369
1976,12468893
1977,12790546
1978,13123069
1979,13460201
1980,13798125
1981,14133840
1982,14470633
1983,14818617
1984,15191625
1985,15598942
1986,16045047
1987,16525108
1988,17027588
1989,17535971
1990,18038321
1991,18529454
1992,19012724
1993,19494967
1994,19986894
1995,20495597
1996,21023321
1997,21565325
1998,22113464
1999,22656286
2000,23185608
2001,23698907
2002,24198811
2003,24688703
2004,25174109
2005,25659393
2006,26143566
2007,26625845
2008,27111069
2009,27605383
2010,28112289
2011,28635128
2012,29170456
2013,29706724
2014,30228017
2015,30723155
2016,31187265
2017,31624264
2018,32042458
2019,32454455
